kierunek;wynagrodzenie;uczelnia;rok;forma;poziom;wskaznik;binary;województwo;stopa_bezr;absolwenci
 Informatyka ;9213,83; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;II stopnia;1,49;Drugi prog;mazowieckie;4,9;113
 Informatyka ;7127,34; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;I stopnia;1,44;Drugi prog;mazowieckie;4,9;113
 Ekonomia ;5571; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;I stopnia;1,21;Pierwszy prog;mazowieckie;4,9;113
 Zarządzanie ;4545,59; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;I stopnia;0,9;Pierwszy prog;mazowieckie;4,9;113
 Filologia ;4257,17; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;I stopnia;0,89;Pierwszy prog;mazowieckie;4,9;113
 Finanse i rachunkowość ;4673,32; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;II stopnia;0,87;Pierwszy prog;mazowieckie;4,9;113
 Zarządzanie ;4499,83; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;II stopnia;0,8;Pierwszy prog;mazowieckie;4,9;113
 Finanse i rachunkowość ;3779,61; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;I stopnia;0,73;Pierwszy prog;mazowieckie;4,9;113
 Budownictwo ;3000; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;I stopnia;0,72;Pierwszy prog;mazowieckie;4,9;113
 Finanse i rachunkowość ;3928,4; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;II stopnia;0,59;Pierwszy prog;mazowieckie;4,9;113
 Informatyka ;3386,55; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia;0,58;Pierwszy prog;mazowieckie;4,9;113
 Zarządzanie ;3104,7; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;II stopnia;0,48;Pierwszy prog;mazowieckie;4,9;113
 Finanse i rachunkowość ;3000; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia;0,46;Pierwszy prog;mazowieckie;4,9;113
 Ekonomia ;2581,79; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia;0,38;Pierwszy prog;mazowieckie;4,9;113
 Stosunki międzynarodowe ;1936,59; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia;0,3;Pierwszy prog;mazowieckie;4,9;113
 Filologia ;1937,5; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia;0,3;Pierwszy prog;mazowieckie;4,9;113
 Zarządzanie ;1718,57; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia;0,29;Pierwszy prog;mazowieckie;4,9;113
 Grafika ;1113,75; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia;0,18;Pierwszy prog;mazowieckie;4,9;113
 Informatyka ;8962,36; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia;1,85;Drugi prog;małopolskie;4,7;128
 Teleinformatyka ;8695,74; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia;1,84;Drugi prog;małopolskie;4,7;128
 Górnictwo i geologia ;8600,8; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia;1,82;Drugi prog;małopolskie;4,7;128
 Automatyka i robotyka ;7452,57; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia;1,73;Drugi prog;małopolskie;4,7;128
 Elektronika i telekomunikacja ;8122,9; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia;1,72;Drugi prog;małopolskie;4,7;128
 Automatyka i robotyka ;7047,29; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia;1,72;Pierwszy prog;małopolskie;4,7;128
 Informatyka stosowana ;7706,44; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia;1,7;Drugi prog;małopolskie;4,7;128
 Informatyka ;8100,62; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia;1,6;Drugi prog;małopolskie;4,7;128
 Informatyka stosowana ;7586,36; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia;1,58;Drugi prog;małopolskie;4,7;128
 Informatyka stosowana ;7181,88; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia;1,52;Drugi prog;małopolskie;4,7;128
