Województwo;Rok;Wydatki_kultura;Lludn;Wynagrodzenie;Teatry_i_in;Przedstawienia;Widzowie_teatr;Kina;Seanse;Widzowie_kin
DOLNOŒL¥SKIE;2002;55366503;2904694;2165.84;20;4173;964690;56;59380;2218849
DOLNOŒL¥SKIE;2003;56302012;2898313;2233.58;19;4535;805495;51;56237;1952312
DOLNOŒL¥SKIE;2004;59478278;2893055;2356.89;17;4423;691765;47;58979;2573933
DOLNOŒL¥SKIE;2005;69451765;2888232;2477.56;17;4377;736588;47;53232;1708296
DOLNOŒL¥SKIE;2006;65613782.99;2882317;2617.16;20;4354;800755;46;53885;2191786
DOLNOŒL¥SKIE;2007;73633085.74;2878410;2860.66;21;4558;748202;43;75267;2414242
DOLNOŒL¥SKIE;2008;88226471.15;2877059;3135.83;20;5021;874388;45;108217;2739590
DOLNOŒL¥SKIE;2009;92756504.54;2876627;3295.44;18;5029;841521;44;121596;3246705
DOLNOŒL¥SKIE;2010;89369094.18;2917242;3412.37;17;4610;781570;43;121486;3296915
DOLNOŒL¥SKIE;2011;87564604.69;2916577;3587.25;16;4905;741127;38;145461;3590872
DOLNOŒL¥SKIE;2012;96384047.89;2914362;3709.32;17;5203;763141;36;138286;3460830
DOLNOŒL¥SKIE;2013;98839816.96;2909997;3868.86;16;5322;891880;39;149552;3444183
DOLNOŒL¥SKIE;2014;106136755.96;2908457;4042.86;16;5599;816250;36;151830;3845264
DOLNOŒL¥SKIE;2015;94143276.47;2904207;4204.24;17;5684;930531;38;156370;4176318
DOLNOŒL¥SKIE;2016;89105287.7;2903710;4385.84;17;5926;977647;42;191278;4882862
DOLNOŒL¥SKIE;2017;93527159.29;2902547;4654.51;16;5516;954492;43;185924;5101657
DOLNOŒL¥SKIE;2018;105386779.2;2901225;4942.39;17;6240;1068307;46;228273;5647676
DOLNOŒL¥SKIE;2019;100304495.97;2900163;5323.55;17;6030;934948;47;218147;5657788
KUJAWSKO-POMORSKIE;2002;46419514;2069166;1953.39;7;2455;564021;30;26587;1029760
KUJAWSKO-POMORSKIE;2003;40346467;2068142;2000.96;7;2546;585965;25;29258;1074030
KUJAWSKO-POMORSKIE;2004;50217596;2068258;2087.3;7;2481;577937;21;30082;1313913
KUJAWSKO-POMORSKIE;2005;53937279;2068253;2153.46;7;2297;550326;20;41728;1003992
KUJAWSKO-POMORSKIE;2006;89218526.83;2066371;2268.87;7;2468;560005;20;50480;1395528
KUJAWSKO-POMORSKIE;2007;63143244.22;2066136;2443.17;7;2905;579969;20;57131;1575175
KUJAWSKO-POMORSKIE;2008;64178082.28;2067918;2691.69;8;3098;646217;19;73991;1663021
KUJAWSKO-POMORSKIE;2009;72990253.02;2069083;2810.97;8;3018;616454;16;82479;1852231
KUJAWSKO-POMORSKIE;2010;85794129.8;2098711;2910.82;9;3236;635682;17;80972;1761544
KUJAWSKO-POMORSKIE;2011;80971281.64;2098370;3062.32;9;3253;642802;17;80937;1783908
KUJAWSKO-POMORSKIE;2012;84718291.07;2096404;3182.31;9;3348;635865;18;100838;1754108
KUJAWSKO-POMORSKIE;2013;90176922.25;2092564;3322.09;9;3264;608655;20;111496;1794225
KUJAWSKO-POMORSKIE;2014;107739540.29;2089992;3439.06;9;3218;659256;21;112871;1971349
KUJAWSKO-POMORSKIE;2015;88997066.31;2086210;3540.25;9;3073;613278;17;108978;2195164
KUJAWSKO-POMORSKIE;2016;90692233.86;2083927;3672.98;10;3524;674235;17;118564;2557276
KUJAWSKO-POMORSKIE;2017;103554707.11;2082944;3886.2;10;3462;680717;18;111428;2834842
KUJAWSKO-POMORSKIE;2018;117532431.07;2077775;4139.21;9;3351;632239;18;119822;2984065
KUJAWSKO-POMORSKIE;2019;130385368.07;2072373;4494.37;7;3217;572119;20;118852;3121776
LUBELSKIE;2002;28506719;2196992;1941.01;6;1325;312635;35;14185;616959
LUBELSKIE;2003;32252205;2191172;1995.5;6;1337;314934;33;12512;549977
LUBELSKIE;2004;36051971;2185156;2096.15;6;1221;238686;31;13860;807995
LUBELSKIE;2005;36041020;2179611;2180.18;6;1163;219697;30;13555;539787
LUBELSKIE;2006;41252586.5;2172766;2290.6;6;1105;165142;33;14259;832713
LUBELSKIE;2007;43584458.35;2166213;2486.22;6;1191;223195;33;23291;918490
LUBELSKIE;2008;44211710.77;2161832;2771.99;6;1189;260897;31;34484;1054399
LUBELSKIE;2009;67202926.32;2157202;2891.3;6;1175;226031;28;28047;1165915
LUBELSKIE;2010;52153256.06;2178611;3099.6;6;909;205396;29;26401;1105458
LUBELSKIE;2011;58629480.6;2171857;3257.14;6;854;199206;27;30161;1269931
LUBELSKIE;2012;59683937.55;2165651;3382.66;7;939;220804;28;34043;1156857
LUBELSKIE;2013;90643929.15;2156150;3488.61;7;915;179508;29;34125;1131570
LUBELSKIE;2014;148211331.11;2147746;3605.03;7;1020;180901;31;48062;1457111
LUBELSKIE;2015;125487037.47;2139726;3699.48;8;1072;202844;30;62324;1555646
LUBELSKIE;2016;72178956.7;2133340;3815.95;8;1063;220035;34;70544;1802680
LUBELSKIE;2017;61866221.79;2126317;4020.25;8;1191;319580;32;77060;2017428
LUBELSKIE;2018;64563084.85;2117619;4260.71;7;1125;306878;31;76786;2107542
LUBELSKIE;2019;69605401.45;2108270;4564.85;7;1113;274681;33;76516;2255031
LUBUSKIE;2002;16877248;1008196;1936.54;3;807;149094;22;7966;314156
LUBUSKIE;2003;15521384;1008786;1990.13;3;831;158606;20;5745;213082
LUBUSKIE;2004;20765442;1009168;2067.56;3;812;168576;18;7238;350368
LUBUSKIE;2005;18670812;1009198;2144.35;3;797;175092;18;5985;213044
LUBUSKIE;2006;19719001.28;1008520;2235.01;3;668;144187;17;6339;296655
LUBUSKIE;2007;25356556.43;1008481;2429.97;3;709;165943;14;6406;251473
LUBUSKIE;2008;22182337.93;1008962;2653.55;3;3523;459504;14;20249;597491
LUBUSKIE;2009;52119152.74;1010047;2802.77;3;3785;605812;13;33656;925915
LUBUSKIE;2010;28307571.98;1023215;2920.43;3;3682;435229;11;31681;882392
LUBUSKIE;2011;24289855.89;1023158;3073.95;3;1228;186736;14;30940;924935
LUBUSKIE;2012;26896186.11;1023317;3203.18;4;1304;209226;12;31540;871275
LUBUSKIE;2013;27137129.01;1021470;3282.07;4;1416;241490;12;30362;820744
LUBUSKIE;2014;27107749.46;1020307;3425.38;4;1258;838903;12;31233;899404
LUBUSKIE;2015;35635636.23;1018075;3567.6;4;1205;230962;12;32353;1006472
LUBUSKIE;2016;31986076.48;1017376;3734.9;4;5224;562907;12;42899;1186290
LUBUSKIE;2017;32121058.67;1016832;3950.95;4;5624;531447;13;43284;1266632
LUBUSKIE;2018;32391037.47;1014548;4239.92;4;5631;518828;13;41891;1310038
LUBUSKIE;2019;43448532.41;1011592;4559.96;4;5759;530044;13;41478;1337454
£ÓDZKIE;2002;54216319;2607380;1966.22;13;4041;616987;38;47360;1530754
£ÓDZKIE;2003;70905622;2597094;2024.32;13;3684;557276;36;49208;1381998
£ÓDZKIE;2004;65151892;2587702;2123.36;13;3439;538133;31;45938;1721849
£ÓDZKIE;2005;51696783;2577465;2188.15;14;3393;552788;34;47181;1197712
£ÓDZKIE;2006;54288683.56;2566198;2287.9;14;3409;549412;35;62714;1772734
£ÓDZKIE;2007;94703716.15;2555898;2470.86;13;3384;568740;32;76307;1952106
£ÓDZKIE;2008;104252469.76;2548861;2740.58;12;3454;565311;31;64782;1963459
£ÓDZKIE;2009;104182264.47;2541832;2884.6;12;3458;529125;28;74390;2176956
£ÓDZKIE;2010;87076086.47;2542436;3066.02;11;3269;541645;23;79397;2138769
£ÓDZKIE;2011;89657731.04;2533681;3245.97;11;3203;566115;24;78897;2164642
£ÓDZKIE;2012;97931395.62;2524651;3383.3;11;3537;540959;22;80357;2093376
£ÓDZKIE;2013;88253249.42;2513093;3510.2;10;3455;554293;22;84565;2043503
£ÓDZKIE;2014;76246066.72;2504136;3618.63;10;2370;485820;22;88899;2159781
£ÓDZKIE;2015;75161776.1;2493603;3790.76;10;2405;536643;21;93756;2367814
£ÓDZKIE;2016;76306314.68;2485323;3925.1;9;2109;488382;24;109230;2878721
£ÓDZKIE;2017;80072966.78;2476315;4141.94;10;2550;519729;24;116394;3320812
£ÓDZKIE;2018;99425191.62;2466322;4441.29;10;2697;590457;26;125194;3511656
£ÓDZKIE;2019;106152406.41;2454779;4790.1;11;2651;506443;30;127951;3615255
MA£OPOLSKIE;2002;50519366;3237217;2060.99;17;3748;690683;56;90940;2710865
MA£OPOLSKIE;2003;57549113;3252949;2109.69;21;3909;715849;53;93084;2559000
MA£OPOLSKIE;2004;73744400;3260201;2216.21;20;4081;706907;49;102255;3450411
MA£OPOLSKIE;2005;70598500;3266187;2303.42;20;4072;717605;49;109670;2539545
MA£OPOLSKIE;2006;95800462.61;3271206;2443.91;19;3913;704214;47;121830;3375499
MA£OPOLSKIE;2007;97128514.03;3279036;2666.24;19;4078;774711;47;118426;3301937
MA£OPOLSKIE;2008;162791217.59;3287136;2903.63;20;4243;959030;45;120379;3316952
MA£OPOLSKIE;2009;232262626.14;3298270;3057.71;22;4568;1118200;43;118547;3560487
MA£OPOLSKIE;2010;115922566.86;3336699;3169.9;17;4714;1001001;46;153889;3669005
MA£OPOLSKIE;2011;108111646.4;3346796;3332.98;15;5212;1018694;46;160927;3558366
MA£OPOLSKIE;2012;117717716.69;3354077;3456.16;15;4987;1005760;44;142565;3013066
MA£OPOLSKIE;2013;122739271;3360581;3574.22;18;5363;1029933;49;156339;2817349
MA£OPOLSKIE;2014;109663715.64;3368336;3700.06;17;5679;1132220;47;183098;3693929
MA£OPOLSKIE;2015;114243981.64;3372618;3906.96;18;5635;1143314;45;182515;4087608
MA£OPOLSKIE;2016;117994825.23;3382260;4077.91;18;6154;3032765;45;183036;4567467
MA£OPOLSKIE;2017;128393776.92;3391380;4347.1;20;6400;1356251;44;199161;5142162
MA£OPOLSKIE;2018;168740068.44;3400577;4678.95;24;7001;1658659;44;193101;4978679
MA£OPOLSKIE;2019;185030509.3;3410901;5098.26;22;6281;1256331;45;198991;5384181
MAZOWIECKIE;2002;78122311;5128623;2893.83;36;9934;2683230;68;193025;7508499
MAZOWIECKIE;2003;81332108;5135732;3005.37;36;9484;2504045;66;233294;7140302
MAZOWIECKIE;2004;114840180;5145997;3095.96;34;9367;2494907;64;254041;8349613
MAZOWIECKIE;2005;141620211;5157729;3227.04;34;9667;2481128;64;279807;6540383
MAZOWIECKIE;2006;246034372.08;5171702;3381.13;35;10253;2442985;52;274382;7673827
MAZOWIECKIE;2007;256844502.8;5188488;3670.84;36;10828;2495870;50;281581;8016778
MAZOWIECKIE;2008;236717032.42;5204495;4036.26;40;11181;2812363;55;289557;7867402
MAZOWIECKIE;2009;240587212.59;5222167;4179.63;40;11045;2755616;53;297484;8685003
MAZOWIECKIE;2010;164875021;5267072;4279.55;41;11882;3016925;56;308931;8114081
MAZOWIECKIE;2011;210956192.18;5285604;4504.66;37;12754;3095155;59;325897;8674071
MAZOWIECKIE;2012;178269858.04;5301760;4637.58;35;12600;2971410;60;292789;8197222
MAZOWIECKIE;2013;163560280.01;5316840;4773.41;32;12994;3685727;63;337263;8641515
MAZOWIECKIE;2014;180703122.97;5334511;4927.34;33;13893;3459209;62;316426;8560318
MAZOWIECKIE;2015;180934228.74;5349114;5098.55;34;13562;3512849;59;303754;8960162
MAZOWIECKIE;2016;188991607.25;5365898;5240.86;37;14062;3675863;76;327853;10242070
MAZOWIECKIE;2017;213585707.1;5384617;5523.65;37;15401;3930591;75;341818;10896041
MAZOWIECKIE;2018;283380793.17;5403412;5888.9;35;17166;4860419;81;388651;11258558
MAZOWIECKIE;2019;316106369.16;5423168;6248.47;35;18151;5190766;85;393729;11813152
OPOLSKIE;2002;13548890;1061009;2029.99;3;898;177567;18;7367;334793
OPOLSKIE;2003;14599186;1055667;2087.3;3;835;172516;17;14302;396420
OPOLSKIE;2004;19074624;1051531;2183.74;3;834;156095;14;11698;568238
OPOLSKIE;2005;30151252;1047407;2249.89;3;881;184285;14;16528;450794
OPOLSKIE;2006;32040775.15;1041941;2367.74;3;925;118052;14;15322;578701
OPOLSKIE;2007;38278789.72;1037088;2607.45;3;934;128069;13;15439;573664
OPOLSKIE;2008;33935985.49;1033040;2873.22;3;1095;203319;13;12356;473784
OPOLSKIE;2009;38312497.38;1031097;2987.87;3;954;167199;11;15636;655909
OPOLSKIE;2010;37222381.59;1017241;3137.29;3;918;154050;9;14190;560744
OPOLSKIE;2011;33424991.87;1013950;3249.58;3;951;184514;12;15873;615923
OPOLSKIE;2012;29643820.98;1010203;3358.42;3;822;131848;13;17887;608832
OPOLSKIE;2013;24281426.96;1004416;3473.4;3;917;163457;14;25749;622918
OPOLSKIE;2014;26029595.63;1000858;3632.84;3;832;163982;13;27258;681805
OPOLSKIE;2015;25205833.81;996011;3793.28;3;806;160129;11;26466;723450
OPOLSKIE;2016;28244812.2;993036;3927.04;3;909;141422;12;27039;761177
OPOLSKIE;2017;30774641.49;990069;4144.91;3;859;140374;11;25480;783622
OPOLSKIE;2018;32817727.82;986506;4379.25;4;1150;182469;11;26127;815938
OPOLSKIE;2019;34305833.53;982626;4712.47;5;1118;192610;11;25219;816045
PODKARPACKIE;2002;27013133;2105050;1875.41;3;1277;185211;46;21347;699257
PODKARPACKIE;2003;31348840;2097248;1950.01;3;1208;180207;42;22203;609783
PODKARPACKIE;2004;35032778;2097975;2018.59;3;1210;182209;38;22927;1017969
PODKARPACKIE;2005;31046195;2098263;2081.76;3;982;142098;39;20717;663032
PODKARPACKIE;2006;34671258.68;2097564;2179.57;3;1196;161318;37;21317;965033
PODKARPACKIE;2007;43389705.03;2097338;2372.82;3;1304;188533;35;20435;825137
PODKARPACKIE;2008;58878770.86;2099495;2614.12;3;1394;196287;32;21161;798857
PODKARPACKIE;2009;60423652.09;2101732;2740.89;3;1381;207078;30;20756;933806
PODKARPACKIE;2010;65835804.11;2127948;2877.43;3;1382;188293;30;20042;901504
PODKARPACKIE;2011;53854687.61;2128687;3023.21;3;1394;218863;30;24475;1085168
PODKARPACKIE;2012;58334500.98;2129951;3152.36;3;1546;198190;29;37550;1103767
PODKARPACKIE;2013;63126068.76;2129294;3282.69;3;1588;182171;31;47024;1105837
PODKARPACKIE;2014;68824460.64;2129187;3412.3;3;1563;188399;27;58614;1342960
PODKARPACKIE;2015;63680073.11;2127657;3527.62;3;1601;164643;27;59188;1511728
PODKARPACKIE;2016;60573178.61;2127656;3653.67;3;1643;174912;30;60872;1777262
PODKARPACKIE;2017;57660802.7;2129138;3837.17;3;1669;171124;31;73261;2010195
PODKARPACKIE;2018;70794660.44;2129015;4089.81;3;1572;184405;27;87296;2204887
PODKARPACKIE;2019;80931756.3;2127164;4388.16;3;1611;180535;29;89704;2361116
PODLASKIE;2002;17231107;1207704;1958;5;1936;326260;22;13633;423509
PODLASKIE;2003;17225421;1205117;2035.43;5;1835;293437;23;12011;331544
PODLASKIE;2004;19801524;1202425;2107.5;5;1717;274316;23;12294;555382
PODLASKIE;2005;26303251;1199689;2192.77;5;1801;287813;19;10814;304239
PODLASKIE;2006;40167575.58;1196101;2307.59;6;2248;312349;19;11589;439454
PODLASKIE;2007;58143158.55;1192660;2524.95;6;2843;362346;19;11193;444088
PODLASKIE;2008;39497713.61;1191470;2781.21;7;2665;359605;19;25475;591853
PODLASKIE;2009;82474951.69;1189731;2884.68;7;2712;377270;15;37951;793642
PODLASKIE;2010;90664024.24;1203448;3019.83;7;2419;353651;14;36004;814236
PODLASKIE;2011;106301342.12;1200982;3178.15;7;2023;296143;14;32985;828849
PODLASKIE;2012;70669396.8;1198690;3310.71;7;1615;223205;14;37890;899413
PODLASKIE;2013;43699345.42;1194965;3432.71;8;1870;283808;13;36353;802590
PODLASKIE;2014;53019838.25;1191918;3530.17;8;1734;265391;12;40299;929092
PODLASKIE;2015;53557544.93;1188800;3647.08;8;1746;255260;12;40523;1020045
PODLASKIE;2016;58588183.37;1186625;3767.2;8;1930;267754;12;52997;1131961
PODLASKIE;2017;64943421.17;1184548;4005.94;8;2079;300004;13;54157;1295409
PODLASKIE;2018;64133860.07;1181533;4264.04;8;2338;316525;11;53081;1336399
PODLASKIE;2019;81049151.8;1178353;4575.88;8;2355;328504;11;52667;1405645
POMORSKIE;2002;53380375;2183636;2175.63;14;2977;575362;24;68171;2399237
